column,representation,feature_id,mean_abs_shap,mean_signed_shap
13421,local_delta,13421,0.53607786,0.20724478
29805,window_absdelta,13421,0.30669075,0.12388687
30167,window_absdelta,13783,0.24497269,0.02546609
16751,window_absdelta,367,0.23413084,0.053092495
29137,window_absdelta,12753,0.21963046,0.016061604
31451,window_absdelta,15067,0.20597005,-0.007660919
37898,global_absdelta,5130,0.20479926,0.08109736
20233,window_absdelta,3849,0.19030032,0.07825628
39885,global_absdelta,7117,0.18093674,0.07625
19855,window_absdelta,3471,0.17567693,0.050264042
26552,window_absdelta,10168,0.16481529,0.06556969
39181,global_absdelta,6413,0.16088787,0.075522766
42691,global_absdelta,9923,0.14223765,0.029138384
16785,window_absdelta,401,0.1418907,0.073265396
42800,global_absdelta,10032,0.13585463,0.051380496
16049,local_delta,16049,0.1316833,0.043859087
47285,global_absdelta,14517,0.13145144,0.06414091
48593,global_absdelta,15825,0.1230913,0.04125623
18686,window_absdelta,2302,0.12244618,0.03361476
37523,global_absdelta,4755,0.10338746,0.019082518
22516,window_absdelta,6132,0.102015615,0.021194892
46203,global_absdelta,13435,0.09772092,0.037416365
33284,global_absdelta,516,0.09146913,0.029374802
20586,window_absdelta,4202,0.08429492,-0.001802353
24110,window_absdelta,7726,0.08379399,-0.0072721387
21044,window_absdelta,4660,0.08284587,0.023377579
27763,window_absdelta,11379,0.077246726,0.021185506
3849,local_delta,3849,0.07654984,0.027152862
33867,global_absdelta,1099,0.0754216,0.029934105
37599,global_absdelta,4831,0.06872809,0.03244776
26859,window_absdelta,10475,0.068514995,0.01860363
36206,global_absdelta,3438,0.06836042,0.019298472
39349,global_absdelta,6581,0.06812413,0.033235874
32433,window_absdelta,16049,0.06299356,0.023975268
32971,global_absdelta,203,0.06285643,0.017105369
35230,global_absdelta,2462,0.06185874,0.02266659
12753,local_delta,12753,0.059587922,0.0014956518
38768,global_absdelta,6000,0.05674049,0.019637749
42076,global_absdelta,9308,0.055530813,-0.0008889736
33023,global_absdelta,255,0.055041708,0.026255695
45944,global_absdelta,13176,0.05442184,0.031254854
3471,local_delta,3471,0.052773792,0.014387137
42936,global_absdelta,10168,0.052706655,0.021150993
37729,global_absdelta,4961,0.051658828,-0.005329279
46959,global_absdelta,14191,0.05118997,0.007087125
38034,global_absdelta,5266,0.050316814,-0.0077104927
44895,global_absdelta,12127,0.048712242,0.0127511965
42680,global_absdelta,9912,0.046801697,0.0032957653
45039,global_absdelta,12271,0.04668835,-0.0027995997
40078,global_absdelta,7310,0.045071445,-0.008679064
45635,global_absdelta,12867,0.043446187,0.010169213
32015,window_absdelta,15631,0.04328169,0.0050323973
47601,global_absdelta,14833,0.042421203,0.018452149
40158,global_absdelta,7390,0.0414774,-0.010251837
36970,global_absdelta,4202,0.040255636,-0.0034294683
36069,global_absdelta,3301,0.03889576,0.0020579945
38457,global_absdelta,5689,0.038851734,0.01730931
47197,global_absdelta,14429,0.03560366,0.013198549
43572,global_absdelta,10804,0.03550014,0.0016981178
42811,global_absdelta,10043,0.035331286,0.0074982424
42776,global_absdelta,10008,0.035207294,0.0030134243
21117,window_absdelta,4733,0.03476509,0.004711547
44286,global_absdelta,11518,0.034651566,0.008455996
41238,global_absdelta,8470,0.034415424,0.01558663
34850,global_absdelta,2082,0.03410718,0.008880169
37023,global_absdelta,4255,0.03302274,0.0058470503
40469,global_absdelta,7701,0.03235481,0.01232661
46875,global_absdelta,14107,0.032007787,0.012695488
48101,global_absdelta,15333,0.031596422,0.011339321
24333,window_absdelta,7949,0.031479992,0.017555026
43369,global_absdelta,10601,0.031373188,0.0039663077
22142,window_absdelta,5758,0.03121542,0.008599803
35608,global_absdelta,2840,0.030886546,0.011516029
3214,local_delta,3214,0.030070512,-0.0062587284
40494,global_absdelta,7726,0.02915957,-0.010062092
39659,global_absdelta,6891,0.02876532,0.011324312
44075,global_absdelta,11307,0.028250158,0.007569094
37257,global_absdelta,4489,0.027793955,0.0073319823
39825,global_absdelta,7057,0.027766438,0.0054554255
44996,global_absdelta,12228,0.027727053,0.008177514
5986,local_delta,5986,0.02761987,0.0011966219
39766,global_absdelta,6998,0.027602173,0.007689803
46539,global_absdelta,13771,0.027410138,0.008268003
367,local_delta,367,0.027386297,0.009837084
35259,global_absdelta,2491,0.027377576,0.010068966
39820,global_absdelta,7052,0.027229883,0.015762094
44491,global_absdelta,11723,0.027188921,0.0072887167
47088,global_absdelta,14320,0.026721563,0.012175625
19862,window_absdelta,3478,0.026517648,-0.0012278031
28540,window_absdelta,12156,0.026166061,0.006724124
46403,global_absdelta,13635,0.026156686,0.012566139
28453,window_absdelta,12069,0.02608881,0.008890232
19099,window_absdelta,2715,0.025833657,0.0055130166
43175,global_absdelta,10407,0.02562212,0.007856866
22255,window_absdelta,5871,0.025460038,-0.0006112864
16411,window_absdelta,27,0.025442932,0.006570703
39484,global_absdelta,6716,0.024479497,-0.0020213528
48082,global_absdelta,15314,0.024066264,0.014895597
39066,global_absdelta,6298,0.024054157,0.006523142
10168,local_delta,10168,0.023915704,0.0052326196
29299,window_absdelta,12915,0.023884978,0.0042000217
37436,global_absdelta,4668,0.023773609,0.005175923
35198,global_absdelta,2430,0.023612237,0.01075653
34145,global_absdelta,1377,0.023555238,0.0074510477
41546,global_absdelta,8778,0.023465263,0.0071709896
43546,global_absdelta,10778,0.02342946,0.008815398
44784,global_absdelta,12016,0.023334756,-0.0036168974
47634,global_absdelta,14866,0.02318471,0.007969343
33114,global_absdelta,346,0.022796111,0.0009483979
40710,global_absdelta,7942,0.022322478,-0.004527947
46560,global_absdelta,13792,0.022117075,0.0063389554
35180,global_absdelta,2412,0.021929394,0.0015235259
47571,global_absdelta,14803,0.021785796,0.005277441
44147,global_absdelta,11379,0.02166652,0.003573308
44499,global_absdelta,11731,0.021663247,0.004187326
35970,global_absdelta,3202,0.021611089,0.008886158
41413,global_absdelta,8645,0.021537745,0.008420574
45712,global_absdelta,12944,0.021454245,0.008350457
35447,global_absdelta,2679,0.021300921,0.004495605
39833,global_absdelta,7065,0.021153374,0.0071360846
29148,window_absdelta,12764,0.021003827,0.0047048377
41990,global_absdelta,9222,0.020967755,0.00576675
48092,global_absdelta,15324,0.020875186,0.007709811
33169,global_absdelta,401,0.020866776,0.006097536
43290,global_absdelta,10522,0.020727932,0.005804666
34858,global_absdelta,2090,0.020334387,0.0073866877
46353,global_absdelta,13585,0.020246651,-0.0020531793
49052,global_absdelta,16284,0.020146536,0.006219374
41418,global_absdelta,8650,0.020077026,0.00988451
40370,global_absdelta,7602,0.019778725,0.004908889
33757,global_absdelta,989,0.019714199,0.004814496
22110,window_absdelta,5726,0.019616432,0.003720365
23117,window_absdelta,6733,0.01956873,0.0030512747
21455,window_absdelta,5071,0.019524317,0.009838013
35896,global_absdelta,3128,0.019451,0.009102613
23547,window_absdelta,7163,0.019148126,0.0050725676
48774,global_absdelta,16006,0.018987171,0.0033416448
46204,global_absdelta,13436,0.018964972,0.006014674
12069,local_delta,12069,0.018911881,0.0038804421
37626,global_absdelta,4858,0.01889701,0.0006986391
47923,global_absdelta,15155,0.018732421,0.008369073
44981,global_absdelta,12213,0.01868833,0.006414485
45487,global_absdelta,12719,0.018565223,0.0024485628
34535,global_absdelta,1767,0.018468346,-0.006935155
42779,global_absdelta,10011,0.018455159,0.0004304873
39965,global_absdelta,7197,0.01831843,-0.005456042
5871,local_delta,5871,0.01828655,0.003005846
39170,global_absdelta,6402,0.017806206,0.0070380396
9501,local_delta,9501,0.01773951,-0.0016207555
48620,global_absdelta,15852,0.01755017,0.007452339
46818,global_absdelta,14050,0.017473027,0.008972479
43927,global_absdelta,11159,0.017420053,-0.0058003017
45771,global_absdelta,13003,0.017332986,0.0033946442
32436,window_absdelta,16052,0.01714446,0.0013185861
40199,global_absdelta,7431,0.017039163,0.00368574
36610,global_absdelta,3842,0.016950091,0.009453391
28431,window_absdelta,12047,0.016937941,0.0031144358
34022,global_absdelta,1254,0.016936459,0.0013270043
39798,global_absdelta,7030,0.016863037,0.00026370367
38753,global_absdelta,5985,0.016793346,0.0023323954
41032,global_absdelta,8264,0.016757794,-0.0013709299
39606,global_absdelta,6838,0.016703362,0.0055181864
47700,global_absdelta,14932,0.016699055,0.0025724792
46786,global_absdelta,14018,0.016386714,0.0036792331
47553,global_absdelta,14785,0.016315943,0.0074137407
42207,global_absdelta,9439,0.016252361,0.008520122
48329,global_absdelta,15561,0.016219102,0.007341667
49092,global_absdelta,16324,0.01620056,-0.0002302125
36076,global_absdelta,3308,0.016147925,0.0050740326
43578,global_absdelta,10810,0.015986947,0.008189914
38413,global_absdelta,5645,0.01594803,0.0054309303
38002,global_absdelta,5234,0.01592739,-0.0024684095
49096,global_absdelta,16328,0.015742034,0.00090211
34042,global_absdelta,1274,0.015711531,0.006758716
41426,global_absdelta,8658,0.015545643,-0.0017598046
48766,global_absdelta,15998,0.0154028,0.0055413223
46310,global_absdelta,13542,0.01535372,0.0041192416
2715,local_delta,2715,0.015310635,0.0051550968
48509,global_absdelta,15741,0.014933705,-0.00011222135
37206,global_absdelta,4438,0.014884134,0.0054909266
44174,global_absdelta,11406,0.014844073,0.008075531
11020,local_delta,11020,0.014833751,0.005054873
37618,global_absdelta,4850,0.014828546,0.0020019196
37720,global_absdelta,4952,0.014806188,0.0064681
34103,global_absdelta,1335,0.014738984,0.0023276
48846,global_absdelta,16078,0.0146686565,0.002606932
45773,global_absdelta,13005,0.01456547,0.0017517369
43968,global_absdelta,11200,0.0144274775,0.003005894
35824,global_absdelta,3056,0.014378645,0.0039170906
42422,global_absdelta,9654,0.014349671,-0.0016619674
47622,global_absdelta,14854,0.014038738,0.006141354
44738,global_absdelta,11970,0.014027606,-0.004308451
47081,global_absdelta,14313,0.013791296,0.00014651458
40087,global_absdelta,7319,0.013638378,0.004455901
48253,global_absdelta,15485,0.013417,0.00017992691
33671,global_absdelta,903,0.013389695,0.005480397
45801,global_absdelta,13033,0.013081038,0.005750979
39972,global_absdelta,7204,0.012969195,0.0069498233
37448,global_absdelta,4680,0.0127771385,0.0047305403
42450,global_absdelta,9682,0.012731211,0.0032149064
